lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.35 0.15 0.8959303 0.7754189 0.40139544 0.8431372549019608 0.8856934 0.7505917 0.39174667 0.8431372549019608 2.1677346 2.2496438 0.83455944 0.9411764705882353
0.35 0.35 0.8887688 0.82102346 0.3815959 0.8627450980392157 0.88236904 0.796328 0.3699432 0.8627450980392157 2.3754225 2.5321736 0.929925 0.9215686274509803
0.35 0.25 0.86996776 0.7738863 0.35995415 0.8627450980392157 0.86378276 0.74556184 0.34861422 0.8627450980392157 2.3149738 2.3824527 0.9357305 0.9411764705882353
0.35 0.2 0.87991685 0.76645356 0.37495494 0.8627450980392157 0.87388647 0.744693 0.3641743 0.8823529411764706 2.2560353 2.2688348 0.85333574 0.9411764705882353
0.4 1.0 0.93078345 0.8682356 0.37153003 0.8431372549019608 0.9273532 0.87093234 0.36120972 0.8235294117647058 2.742783 2.76516 1.0389255 0.9215686274509803
0.35 0.8 0.9367148 0.88437116 0.372863 0.8431372549019608 0.9306226 0.85491157 0.36381844 0.8431372549019608 2.753325 3.0088844 0.9358663 0.9215686274509803
0.25 0.75 0.8675311 0.8647523 0.35716352 0.8431372549019608 0.8590568 0.8421099 0.35219568 0.8235294117647058 2.677179 2.8012867 0.8494168 0.9019607843137255
0.4 0.85 0.9281783 0.8830092 0.37402257 0.8431372549019608 0.9244852 0.86986434 0.36262047 0.8235294117647058 2.7498674 2.8764262 1.033985 0.9215686274509803
0.45 0.1 0.8772661 0.82224274 0.36952984 0.8431372549019608 0.8611518 0.79722524 0.36350116 0.8823529411764706 1.9090803 2.2403808 0.82054776 0.9607843137254902
0.45 0.45 0.9137206 0.846625 0.36458853 0.8431372549019608 0.91000926 0.8374895 0.3535241 0.8431372549019608 2.469537 2.291735 0.9668756 0.9215686274509803
0.4 0.95 0.9316155 0.87264895 0.37253547 0.8431372549019608 0.92816675 0.87521017 0.362099 0.8235294117647058 2.757564 2.7865648 1.0740329 0.9215686274509803
0.4 0.7 0.9281584 0.8873901 0.37466556 0.8431372549019608 0.9240794 0.8674804 0.3630891 0.8431372549019608 2.760592 2.7712255 1.0392383 0.9215686274509803
0.35 0.5 0.9235164 0.8397143 0.37418044 0.8431372549019608 0.91669464 0.8103182 0.3638463 0.8431372549019608 2.5963793 2.9377303 0.85335046 0.9019607843137255
0.45 0.3 0.8963997 0.84720767 0.37456143 0.8627450980392157 0.8875643 0.835998 0.3650618 0.8627450980392157 2.4042974 2.5109522 0.85965407 0.9411764705882353
0.4 0.8 0.9321448 0.89106464 0.36838138 0.8431372549019608 0.9286008 0.8713971 0.3566939 0.8431372549019608 2.7310495 2.731195 1.0431483 0.9215686274509803
0.45 0.8 0.9206244 0.8332317 0.3772305 0.8431372549019608 0.91707516 0.8351274 0.36697263 0.8235294117647058 2.7379036 2.6753998 1.1010635 0.9215686274509803
0.35 0.95 0.93913496 0.881342 0.36865687 0.8431372549019608 0.93422633 0.8573426 0.3586204 0.8235294117647058 2.7642186 2.944766 0.94917583 0.9215686274509803
0.4 0.2 0.8581953 0.757273 0.3728283 0.8823529411764706 0.8501216 0.74344313 0.3652086 0.8823529411764706 2.349118 2.4686444 0.9099787 0.9607843137254902
0.4 0.25 0.885503 0.7904105 0.3793337 0.8823529411764706 0.87841356 0.7638053 0.36820433 0.8823529411764706 2.298244 2.3733156 0.9043761 0.9607843137254902
0.45 0.25 0.88882524 0.8065826 0.3656938 0.8431372549019608 0.8783305 0.7933987 0.3597108 0.8431372549019608 2.3345146 2.4261918 0.8896234 0.9411764705882353
0.5 0.45 0.9347806 0.852798 0.34780458 0.8431372549019608 0.9255899 0.85132325 0.34312233 0.8431372549019608 2.5212612 2.6221743 1.0121295 0.9215686274509803
0.5 0.5 0.9289467 0.83852345 0.36185655 0.8431372549019608 0.9202671 0.84065235 0.35855436 0.8431372549019608 2.627603 2.4618225 1.0470545 0.9215686274509803
0.5 0.55 0.918997 0.84072566 0.37734488 0.8431372549019608 0.9109559 0.8428072 0.37362367 0.8431372549019608 2.6885462 2.598707 1.0783094 0.9215686274509803
